,PROMPT,IMAGE_URL
0,"

ethereal Bohemian Waxwing bird,
 Bombycilla garrulus :: intricate details,
 ornate,
 detailed illustration,
 octane render :: Johanna Rupprecht style,
 William Morris style :: trending on artstation --ar 9:16

",https://storage.googleapis.com/dream-machines-output/a21d76a4-dc99-486f-9994-def7021bd6dd/0_0.png
1,"

THE CHERRY BLOSSOM TREE HOUSE :: beautiful ornate treehouse in a gigantic pink cherry blossom tree :: on a high blue grey and brown cliff with light snow and pink cherry blossom trees :: Roger Deakins and Moebius and Alphonse Much and Guweiz :: Intricate details,
 very realistic,
 cinematic lighting,
 volumetric lighting,
 photographic,
 --ar 9:20 --no blur bokeh defocus dof --s 4000

",https://storage.googleapis.com/dream-machines-output/d44b8967-cbae-4598-bccf-39cbeffef961/0_0.png
2,"

space suit with boots,
 futuristic,
 character design,
 cinematic lightning,
 epic fantasy,
 hyper realistic,
 detail 8k --ar 9:16

",https://storage.googleapis.com/dream-machines-output/bef136f1-bcd8-4aca-bf2c-13b40a18c608/0_0.png
3,"

character design,
 void arcanist,
 mist,
 photorealistic,
 octane render,
 unreal engine,
 hyper detailed,
 volumetric lighting,
 hdr.
 --ar 9:16

",https://storage.googleapis.com/dream-machines-output/8527fb23-9f99-4bb0-84c0-71e087a97a2d/0_0.png
4,"

A real photographic landscape painting with incomparable reality,
Super wide,
Ominous sky,
Sailing boat,
Wooden boat,
Lotus,
Huge waves,
Starry night,
Harry potter,
Volumetric lighting,
Clearing,
Realistic,
James gurney,
artstation --ar 9:16

",https://storage.googleapis.com/dream-machines-output/b2fa87f6-4bce-47c8-b2b8-4df92e5e4799/0_0.png
5,"

galaxies,
 spirals,
 space,
 nebulae,
 stars,
 smoke,
 iridescent,
 intricate detail,
 in the shape of a rabbit,
 octane render,
 8k,
 --q 2 --ar 2:3 --uplight

",https://storage.googleapis.com/dream-machines-output/e70a2960-c3fc-405b-8a9a-4331101d664c/0_0.png
6,"

aerial view of a giant fish tank shaped like a tower in the middle of new york city,
 8k octane render,
 photorealistic --ar 9:20

",https://storage.googleapis.com/dream-machines-output/fa55db49-7b20-4813-b6b8-185343e34e8b/0_0.png
7,"

beautiful pale cyberpunk female with heavy black eyeliner,
 blue eyes,
 shaved side haircut,
 hyper detail,
 cinematic lighting,
 magic neon,
 dark red city --ar 9:16 --testp --upbeta

",https://storage.googleapis.com/dream-machines-output/4f9a8711-f510-4bb5-bfc4-f059ab17e170/0_0.png
8,"

a photo of 8k ultra realistic archangel with 6 wings,
 full body,
 intricate purple and blue neon armor,
 ornate,
 cinematic lighting,
 trending on artstation,
 4k,
 hyperrealistic,
 focused,
 high details,
 unreal engine 5,
 cinematic --ar 9:16  --s 1250 --q 2

",https://storage.googleapis.com/dream-machines-output/d1a6e4aa-113c-4f8f-af34-4ed03970a1ba/0_0.png
9,"

hyper realistic photograph,
 portrait of a tattooed southamerican indigenous black woman,
 future punk,
 gold tattoo line,
 side profile,
 summer,
 dramatic light,
 looking down
+
film grain,
 Leica 50mm,
 Kodak portra 800,
 chiaroscuro,
 f1.
4,
 golden hour —ar 3:4 —test --upbeta

",https://storage.googleapis.com/dream-machines-output/00400836-9c47-4a57-8ad2-1d0d165c6d6c/0_0.png
10,"

kneeling cat knight,
 portrait,
 finely detailed armor,
 intricate design,
 silver,
 silk,
 cinematic lighting,
 4k,
 --ar 9:16  --beta --upbeta

",https://storage.googleapis.com/dream-machines-output/e346e2f5-5965-4e3c-84fc-255bc94d0b73/0_0.png
11,"

liquid otherworldly cool dreamy dog,
 cuddly,
 arrogant,
 powerful,
 high fantasy,
 epic,
 cinematic,
 internal glow --ar 2:3 --test --s 1625 --upbeta

",https://storage.googleapis.com/dream-machines-output/d53cad92-a38b-43f2-bf5b-da9ecdcd3c2a/0_0.png
12,"

staring up into the infinite celestial library,
 endless books,
 flying books,
 starry,
 sublime,
 cinematic lighting,
 watercolor,
 mc escher,
 dark souls,
 bloodborne,
 matte painting --ar 9:21 --test

",https://storage.googleapis.com/dream-machines-output/31cf17d5-7c0c-4d30-8751-a28c2c98dd18/0_0.png
13,"

stunning city of stone inside a gray granite canyon,
 fusion of star wars and gothic revival architecture,
 by marc simonetti,
 natural volumetric lighting,
 realistic 4k octane beautifully detailed render,
 4k post-processing —ar 9:16 —no people --uplight

",https://storage.googleapis.com/dream-machines-output/40c9ab6a-f4fc-4519-96c2-7a258cd73131/0_0.png
14,"

A Huge Vietnam Old Apartment Building by Howl's Moving Castle Ghibli,
 by Miyazaki,
 Nausicaa Ghibli,
 Breath of The Wild,
 epic composition --w 896 --h 3072 --stop 80

",https://storage.googleapis.com/dream-machines-output/60e41a0f-5769-4a65-9169-cdb7d621e952/0_0.png
15,"

airy,
 pin-up,
 sci-fi,
 steam punk,
 very deitaled,
 realistic,
  figurative painter,
 fineart,
 Oil painting on canvas,
 beautiful painting by Daniel F Gerhartz  --ar 9:16  --beta --upbeta

",https://storage.googleapis.com/dream-machines-output/a4f5147c-9dc6-4dd9-a5a1-3314e316aee1/0_0.png
16,"

photograph close up portrait 62-year-old tough decorated general,
 CLEAN SHAVEN,
 serious,
 stoic cinematic 4k epic detailed 4k epic detailed photograph shot on kodak detailed bokeh cinematic hbo dark moody --ar 17:22 --beta --upbeta

",https://storage.googleapis.com/dream-machines-output/a3d8cb4e-0277-4aca-a01d-5b2499379400/0_0.png
17,"

Evangelion unit 01 pallete ,
 zoom shot,
 telephoto lens,
 low aperture street level,
 buildings collapsed :: hyper-realistic,
 your name sky,
 evening,
 octane rendering :: inspired by Katsuhiro Otomo,
 pixelactivist :: --hd --h 2000

",https://storage.googleapis.com/dream-machines-output/2fda818a-49f9-48e6-900a-752516634a4f/0_0.png
18,"

Close-up of Viking King emerging from wet black mud :: Dark metal helmet with two large black horns on the sides of the helmet :: dark warpaint :: scruffy black beard :: angry expression :: scar on face :: Viking Axe :: cinematic lighting,
 volumetric rays,
 moody,
 wet,
 dripping mud --ar 2:3 --beta --upbeta

",https://storage.googleapis.com/dream-machines-output/e7184d4b-c50d-4ccc-8081-89fd0454e45d/0_0.png
19,"

peaceful landscape,
 cinematic,
 8k,
 detailed,
 realistic ,
 octane render,
 --ar 828:1792  --q 2 --upbeta

",https://storage.googleapis.com/dream-machines-output/a4b534f5-e7d0-40b3-92ad-7f7c395513fd/0_0.png
20,"

glamour shot of queen of the damned a femme fatale,
 morbide,
 dark,
 very detailed,
 rendered in octane,
 wet,
 dense atmospheric,
 epic,
 dramatic,
 empty,
 creepy,
 trail cam footage,
 photorealistic,
 hyperornate details,
 photographed by Irakli Nadar and Reylia Slaby  --ar 2:3 --beta --upbeta --upbeta

",https://storage.googleapis.com/dream-machines-output/11976c8b-1b77-4c7d-9ba2-2b0ee1d4625a/0_0.png
21,"

Bob Ross as a muppet,
 pixar fur,
 vray renderer --beta --upbeta --upbeta

",https://storage.googleapis.com/dream-machines-output/547b101f-91c3-4c29-93aa-831c87e5cc41/0_0.png
22,"

steampunk cat,
 octane render,
 hyper realistic,
 --ar 2:3  --q 2

",https://storage.googleapis.com/dream-machines-output/289358a4-910a-4669-8de7-d2e692cfbbe2/0_0.png
23,"

portrait photo  of a asia old warrior chief,
  tribal panther make up,
 blue on red,
 side profile,
 looking away,
 serious eyes,
  50mm portrait photography,
 hard rim lighting photography--beta --ar 2:3  --beta --upbeta

",https://storage.googleapis.com/dream-machines-output/b6cebcc9-8267-4fa7-b7ca-ec571d22904e/0_0.png
24,"

incredibly powerful Anime Girl,
 created by Hideaki Anno + Katsuhiro Otomo +Rumiko Takahashi,
 Movie poster style,
 box office hit,
 a masterpiece of storytelling,
 main character center focus,
 monsters + mech creatures locked in combat,
 nuclear explosions paint sky,
 highly detailed 8k --ar 9:18

",https://storage.googleapis.com/dream-machines-output/82e74199-e9f4-49cb-ba28-c20378a0ac2f/0_0.png
25,"

gorgeous wolf statue with gold filigree :: carved marble --q 2 --s 3000 --ar 1:2 --uplight

",https://storage.googleapis.com/dream-machines-output/c87205bc-2cbd-4d23-81a9-881d73ebb444/0_0.png
26,"

dripping red paint across the shape of a female human,
 realistic ,
 high detail,
 on a white background --ar 12:18

",https://storage.googleapis.com/dream-machines-output/76932496-0cdd-4494-9731-3203a9edb427/0_0.png
