,PROMPT,IMAGE_URL
0,"A stunningly realistic beach scene in 4K Ultra HD, with crystal clear turquoise waters, golden sands, and lush palm trees swaying in a gentle breeze, all illuminated by a psychedelic sunset featuring vibrant hues of pink, purple, and orange, casting a magical glow on the landscape. The highly detailed, HDR rendering captures every nuance of the surroundings, immersing you in a truly lifelike, tranquil beach getaway with a touch of surreal beauty. #HDR #4K #UltraHD #RealisticRender #HighlyDetailed #PsychedelicSunset --ar 18:39 --q 2 --upbeta --v 5",https://cdn.midjourney.com/030f6b9c-5065-4bda-8201-842f983af8c7/0_1.png
0,"**a hyper realistic photography portrait of a beautiful elegant 18-year old beautiful British Venezuelan woman wearing a clown triggerfish dress with Swarovski crystals details, oversized fashion design, ultra hdr, 8k, 600DPI, surrealism, surreal details, fantasy, whimsical, magical, extremely detailed, extreme close up, she is in Versailles Hall of Mirrors, chaos 1 --ar 9:16  --s 250 --v 5 --q 2",https://cdn.midjourney.com/29137065-692a-45ef-8e84-8838515aa4b7/0_3.png
0,teen boy wearing black and red spiral makeup 3.5 surreal::1.5 clean dark background::1.5 blacklight art::1.5 --s 300 --ar 9:16  --v 5,https://cdn.midjourney.com/352f6ede-c893-49c8-97d7-05a91cda389e/0_2.png
0,"Close up portrait, Anthropomorphic Meerkat Mountaneer wearing an expedition outfit, in the Himalayas, in the style of Naoto Hattori \u0026 Aaron Horkey, flowerpunk mountainpunk meerkatcore, pulp manga, cinematic lighting, vibrant raking light --ar 4:7  --v 5",https://cdn.midjourney.com/14ff55fc-7e8c-4935-bcdf-8212745a7a9d/0_3.png
0,"\u003chttps://s.mj.run/C5cHABx7AtA\u003e illustration by Alan Lee and Artgerm, Close-up, a magipunk bird, in a birch forest, dynamic composition, magic sunlighting, colored pencils, colored ink --ar 2:3 --c 5 --s 800 --iw 0.7  --v 5",https://cdn.midjourney.com/4ee8f645-8e35-4f7a-8547-5cbd36dad9d0/0_2.png
0,"A beautiful Chinese woman sitting on a bench, googly-eyed, long black hair, wearing an ancient sophisticated style of clothing, dark gray and light brown, flowing fabric, cottage core, unified stage image, 64K UHD, hand-painted details --ar 9:16  --v 5",https://cdn.midjourney.com/af7faa6b-30cf-4360-a02f-bd9eb0c06848/0_3.png
0,"the future of androids, in the style of floral surrealism, tilt shift, steelpunk, impressionist atmospheric, realistic figures, canon eos 5d mark iv, --ar 1:2  --q 2 --v 5",https://cdn.midjourney.com/6c35d712-7d27-458e-99d9-2b462104b25a/0_3.png
0,"door to a place of chaos by mike lasove on 500px, in the style of andreas achenbach, oliver jeffers, ominous vibe, uhd image, pegi nicol macleod, stock photo, tumblewave --ar 51:91",https://cdn.midjourney.com/31008a8a-bda8-4383-abb0-b6d1355dff48/0_0.png
0,"Tyndall effect, a beautiful super model young lady lies underwater in front of pale pink roses ,sunbeams in the style of atmospheric seascapes, samyang af 14mm f/2.8 rf, album covers, xiaofei yue, high quality photo, coastal scenery, solarization effect --ar 9:16  --v 5 --q 2 --s 250",https://cdn.midjourney.com/95f392b0-899e-4693-aa1c-ac2b045ef467/0_2.png
0,"Statue of liberty crying with her hands covering her face, raining outside, city background, hyper real --quality 2",https://cdn.midjourney.com/ff474320-8a89-4fc8-8b54-466b7baa43a4/0_0.png
0,"exhilaration and enthusiasm, closeup , by Norman Rockwell and Boris Vallejo --ar 9:16 --chaos 10  --q 2 --s 750 --v 5",https://cdn.midjourney.com/47c50d25-30d3-4848-a9e7-5ce455bbab46/0_3.png
0,"an illustration of an old man walking in a suit, in the style of dark white and red, high contrast compositions, 3840x2160, linear compositions, bold and daring compositions, incisioni series, streamlined design --ar 51:91",https://cdn.midjourney.com/aee27def-f461-4e03-bce8-90e51e7eff08/0_0.png
0,"a beautiful black hat is shown in a stylized illustration, in the style of patrick nagel, zhang jingna, red, anime-inspired character designs, vivienne tam, comic art, barbiecore --ar 51:91  --v 5  --q 2 --v 5 --s 750",https://cdn.midjourney.com/f6f055b9-2ca3-496e-ad09-30725401a956/0_0.png
0,"Enchanting watercolor painting, watercolor texture, a relaxed Scandinavian woman wearing sunglasses and a t-shirt, in the style of anime art, violet and buttercream colors, xiaofei yue, chromepunk, ferrania p30, social media portraiture, victor nizovtsev, royal blue background, Anna Dittmann, Victorian elegance --v 5 --s 500 --chaos 10 --ar 9:16",https://cdn.midjourney.com/589bdfee-4786-4332-aa11-d278591fcbb6/0_2.png
0,"Minimalism masterpiece, Trace in waves + fine gritty texture + complementary pastel scale + abstract + stark brushstrokes + art by Mission School --ar 8:19 --s 1000 --c 3 --q 4 --v 5",https://cdn.midjourney.com/9f4bc27b-3bb3-4397-8b52-99f9039f7823/0_3.png
0,"A portrait of Yuno Gasai from Mirai Nikki, pink medium-long hair, red rose petals flying around her, big full moon in the background, stars at the bottom::1.2 alphonse mucha::1 --ar 9:20 --v 5",https://cdn.midjourney.com/532ab9c3-e2a7-41cb-8ad9-66df3b68358e/0_1.png
0,"furniture design, armchair, inflatable, fluorescent green inside, transparent, concept product design, futuristic, modern, plain studio background, studio lighting, 50mm, super detailed, realistic, photography, UHD --s 500  --v 5 --q 2",https://cdn.midjourney.com/46e010ff-3d28-41b1-a691-deeab1b968d9/0_1.png
0,"fashion shoot on the moon, no gravity, floating, haute couture on the moon, simple vibrant colors, minimalistic and simple, fashion --ar 9:16  --v 5",https://cdn.midjourney.com/3364776b-ff4e-44a3-9dc3-9bec700e41a2/0_0.png
0,"cute cartoon tiger, 8k, hd, 4k, pastel color background, surrounded by warmth",https://cdn.midjourney.com/1ac02bfc-f01e-4bc6-adb4-ef517c65aba8/0_2.png
0,"Abstract minimalist painting that represents duality, mix between watercolor and oil paint, in shades of blue --ar 1:2  --q 2 --v 5 --s 750",https://cdn.midjourney.com/9e0f28aa-18d6-459e-a5ab-1b4e46453ac5/0_1.png
0,"Minimalism masterpiece, Trace in the waves to infinity + fine layered texture + complementary CMYK color scheme + abstract + stark brushstrokes + art by Mission School + wave runner N64 bootleg, vaporwave aesthetic --ar 8:19 --s 1000 --c 3 --q 4 --v 5",https://cdn.midjourney.com/2a275458-34dc-4216-94d5-3b21f6bedb72/0_1.png
0,"Palette Knife Painting in the style of C215 and Russ Mills, extreme Low angle view:: 3, Cesar Santos, STunning victorian femme Fatale, Elegant, Beautiful, Black red gold and white, full body, street environment, jeremy mann --v 5 --s 500 --chaos 10 --ar 9:16",https://cdn.midjourney.com/165f5401-4f95-4af6-a092-290dbeb2ea90/0_2.png
0,"a newspaper is printed with a woman's art, in the style of loui jover, realistic, emotive portraits, felicia simion, karol bak, captivating gaze, pensive poses, intentionally canvas --v 5 --s 500 --ar 70:109 --ar 9:16",https://cdn.midjourney.com/eda23068-e76b-4e4d-b6b2-9b8242fc1423/0_2.png
0,"Divine perfection, realistic photography, dynamic background, intricate details, rich colors, realistic style, --ar 9:16  --uplight  --v 5 --s 750 --q 2",https://cdn.midjourney.com/337f559f-2cf4-4290-b892-181a462f2593/0_1.png
0,"A person and a cat watching the sunrise together, warm, lovely, Miyazaki style, pleasant scenery, detailed picture --ar 9:16  --q 2 --v 5 --s 750",https://cdn.midjourney.com/a389bed2-33e1-4581-a101-e7f8ebdb8315/0_2.png
0,Award-Winning Polaroid street photography --v 5 --s 500 --chaos 10 --ar 9:16,https://cdn.midjourney.com/ad2ee441-142d-49cc-b1af-067ac9598434/0_1.png
0,"Minimalism masterpiece, Trace in the infinity + fine gritty texture + complementary split scheme + abstract + stark brushstrokes + art by Mission School + N64 bootleg --ar 8:19 --s 1000 --c 3 --q 4  --v 5",https://cdn.midjourney.com/bffaed45-ba26-49db-8fea-3e8de389915d/0_3.png
0,"annihilation movie style, Astral realm ruins, shiny white female robot full-body Porcelain and hammered matt silver showing cracked inner working, tiny white flowers growing from within, light from within all white,, reflecting in the mirror, flowers growing on the robot parts, , swamp, cinematic lighting, amazing composition , 3d octane render, unreal engine, hyper realistic, soft illumination, trending artstation, environmental concept art, all in grey, 4k trending on ArtStation --ar 1:2",https://cdn.midjourney.com/75bc6ac0-f2ac-4c80-aaf9-52043fb3e5ca/0_1.png
0,"dark illustration of the spirit of a bird leaving the body of a man, frazetta, toppi, morpheus, rich vibrant, highly detailed --ar 6:9 --v 5 --q 2",https://cdn.midjourney.com/064ce461-76eb-4fb8-8cf1-95f82c6b4ee8/0_1.png
0,"A beautiful 25 years old most beautiful ukraine woman with long hair, most beautiful ukraine woman are wearing beautiful red dress and lipstick, their faces are visible, emerald and cyan color grading, photography by Julia Hetta ::5 , multiple images, writing ::-2 Writing ::-0.5 --ar 4:5 --s 750  --v 5",https://cdn.midjourney.com/16e30ab6-4c88-432d-b682-d970652de69e/0_3.png
0,"\u003chttps://s.mj.run/u4CWrCR4w8U\u003e \u003chttps://s.mj.run/Zn-ZvZV07Uk\u003e \u003chttps://s.mj.run/hqtrZNGN8ow\u003e simple minimalist abstract boho, order and symmetry --ar 2:3  --q 2   --upbeta --v 5 --s 750",https://cdn.midjourney.com/793d81f0-b4c1-4d68-b418-faca1d35be4d/0_1.png
0,"19 year old beautiful girl with blond long hair, wearing a night club dress, sitting in a white chair in a futuristic clean world, dd cup, photography, hyper realistic, hypermaximalist, Megapixel, Cinematic Lighting, insanely detailed, elegant, dynamic, pose  --ar 9:16 --c 20 --v 5 --s 750",https://cdn.midjourney.com/b1c4a3e7-9efa-4a07-8950-a6621ed1ed2c/0_3.png
0,"margarita cocktail, White kitchen. Bright and airy. Food photography, product photography. --ar 2:3 --q 2 --s 750 --v 5  --q 2 --v 5",https://cdn.midjourney.com/98a0f708-1b81-40a0-ba13-f304a931f620/0_0.png
0,"\u003chttps://s.mj.run/hGNbgpmh1oE\u003e \u003chttps://s.mj.run/06FZcDtFjVw\u003e \u003chttps://s.mj.run/wz5mNr6ZZfE\u003e beautiful gorgeous art deco radioactive electronic artificial fembot in harmony with the bioluminescent bubbly lava lamp digital world , glowing eyes, beautiful magical mystical colorful amazing surrealism --ar 9:16 --chaos 70 --q 2 --s 1000 --q 2 --v 5 --q 2 --q 2 --q 2 --v 5  --q 2 --s 750 --v 5",https://cdn.midjourney.com/88ef8de3-c4e9-4bd4-9d3b-2c0b85f5519b/0_0.png
0,"a pretty lady on a swing underneath a weeping-willow with cherry blossoms around her, in the style of artgerm, childlike innocence, alexandr averin, light white and amber, dreamlike environments, romantic landscape, eve ventrue --q 2 --v 5 --s 250 --ar 3:5",https://cdn.midjourney.com/48137fe2-6b30-4cce-9640-082a7b858b25/0_2.png
0,"a anthropomorphic badass electric aardwolf mage, glowing eyes, translucent sparks, blue and gold yellow fur, rendered in Octane with volumetric lighting, in the style of Donato Giancola --ar 4:7 --chaos 20 --c 4 --stylize 1000  --v 5 --q 2",https://cdn.midjourney.com/ec28ab57-be37-4790-9820-59bf951e8e49/0_1.png
