,PROMPT,IMAGE_URL
0,"Anthropomorphic majestic blobfish knight, portrait, finely detailed armor, cinematic lighting, intricate filigree metal design, 4k, 8k, unreal engine, octane render",https://www.blueshadow.art/wp-content/uploads/2022/09/prompt01.jpg
1,"big labyrinth, escher like, ornaments, hedges, Art nouveau",https://www.blueshadow.art/wp-content/uploads/2022/09/prompt02.jpg
2,"Mystic Old Male Warrior, Concept Character, portrait, Profile, Fantasy, Magic, Wisdom, Magic Glowing Runes, Astonishing, Mystical, Runic Tattoos, Intricate detail, mist, Digital art, Stanley Artgerm Lau, Karol Bak, Bokey",https://www.blueshadow.art/wp-content/uploads/2022/09/prompt03.jpg
3,tiny cute adorable ginger tabby kitten studio light,https://www.blueshadow.art/wp-content/uploads/2022/09/prompt04.jpg
4,a quasar forms at the end of a long hallway + liminal space + hyperrealistic + unreal engine,https://www.blueshadow.art/wp-content/uploads/2022/09/prompt05.jpg
5,"a little girl with light brown short wavy curly hair and blue eyes floating in space, gazing in wonder at a quasar, Clear, detailed face. Clean Cel shaded vector art by lois van baarle, artgerm, Helen huang, by makoto shinkai and ilya kuvshinov, rossdraws, illustration",https://www.blueshadow.art/wp-content/uploads/2022/09/prompt06.jpg
6,"sci-fi cosmic diarama of a quasar and jellyfish in a resin cube, volumetric lighting, high resolution, hdr, sharpen, Photorealism",https://www.blueshadow.art/wp-content/uploads/2022/09/prompt07.jpg
7,"maze, Narrow steep staircase, Old Building, Floating buildings, Urban, City rain, art by miyazaki and Ian McQue and Akihiko Yoshida and Katsuya Terada, colorful, trending on artstation, gorgeous, ultra-detailed, realistic, 8k, octane render, hyper detailed, cinematic",https://www.blueshadow.art/wp-content/uploads/2022/09/prompt08.jpg
8,"Extreme close up of an eye that is the mirror of the nostalgic moments, nostalgia expression, sad emotion, tears, made with imagination, detailed, photography, 8k, printed on Moab Entrada Bright White Rag 300gsm, Leica M6 TTL, Leica 75mm 2.0 Summicron-M ASPH, Cinestill 800T",https://www.blueshadow.art/wp-content/uploads/2023/03/prompt74.jpg
9,"Midjourney prompt : abstract image, Bauhaus style, 3D, phages, black, white, red and blue, 8K",https://www.blueshadow.art/wp-content/uploads/2023/03/prompt76.jpg
10,"curved building facade made from transparent smooth and endless fluidity style parametric future architecture, concept art, highly detailed, beautiful scenery, cinematic, beautiful light, hyperreal, octane render, hdr, long exposure, 8K, realistic, fog, moody, gopro",https://www.blueshadow.art/wp-content/uploads/2022/09/prompt11.jpg
11,"a moody foggy environment inside a curvilinear space looking up at a tall open oculus with light filtering down, back-lit uplit, unreal engine",https://www.blueshadow.art/wp-content/uploads/2022/09/prompt12.jpg
12,"Spectacular Tiny World in the Transparent Jar On the Table, interior of the Great Hall, Elaborate, Carved Architecture, Anatomy, Symetrical, Geometric and Parameteric Details, Precision Flat line Details, Pattern, Dark fantasy, Dark errie mood and ineffably mysterious mood, Technical design, Intricate Ultra Detail, Ornate Detail, Stylized and Futuristic and Biomorphic Details, Architectural Concept, Low contrast Details, Cinematic Lighting, 8k, by moebius, Fullshot, Epic, Fullshot, Octane render, Unreal ,Photorealistic, Hyperrealism",https://www.blueshadow.art/wp-content/uploads/2023/03/prompt13.jpg
